EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,WAGE,AGE,RACE,OCCUPATION,SECTOR,MARR
16,NORTH,MALE,3,False,5.77,25,White,Service,Manufacturing,False
14,NORTH,MALE,4,True,25.0,24,Hispanic,Service,Other,False
14,NORTH,MALE,34,True,6.85,54,Other,Service,Other,True
11,SOUTH,MALE,39,False,6.5,56,White,Service,Other,True
12,SOUTH,FEMALE,17,False,3.75,35,White,Service,Other,True
9,NORTH,MALE,47,True,3.5,62,White,Service,Other,True
11,NORTH,MALE,2,False,4.5,19,White,Service,Other,False
13,SOUTH,MALE,0,False,2.01,19,White,Service,Other,False
14,NORTH,FEMALE,24,False,4.17,44,White,Service,Other,False
12,NORTH,MALE,25,True,13.0,43,Other,Service,Other,True
14,NORTH,FEMALE,6,False,3.98,26,White,Service,Other,False
12,NORTH,FEMALE,10,False,7.5,28,White,Service,Other,False
12,NORTH,FEMALE,33,False,13.12,51,Other,Service,Other,True
12,NORTH,MALE,12,False,4.0,30,White,Service,Other,False
12,SOUTH,FEMALE,9,False,3.95,27,White,Service,Other,True
11,SOUTH,MALE,18,True,13.0,35,White,Service,Other,True
12,NORTH,MALE,10,False,9.0,28,White,Service,Other,True
8,SOUTH,FEMALE,45,False,4.55,59,White,Service,Other,False
9,NORTH,FEMALE,46,True,9.5,61,White,Service,Other,True
7,SOUTH,MALE,14,False,4.5,27,Hispanic,Service,Other,True
11,NORTH,FEMALE,36,False,8.75,53,White,Service,Other,False
13,NORTH,MALE,34,True,10.0,53,White,Professional,Construction,True
18,NORTH,MALE,15,False,18.0,39,White,Professional,Other,True
17,NORTH,MALE,31,False,24.98,54,White,Professional,Manufacturing,True
16,NORTH,FEMALE,6,False,12.05,28,White,Professional,Manufacturing,False
14,SOUTH,MALE,15,False,22.0,35,White,Professional,Other,True
12,NORTH,MALE,30,False,8.75,48,White,Professional,Other,True
18,NORTH,MALE,8,False,22.2,32,White,Professional,Other,True
18,NORTH,MALE,5,False,17.25,29,White,Professional,Manufacturing,True
17,NORTH,FEMALE,3,True,6.0,26,White,Professional,Other,False
13,SOUTH,MALE,17,False,8.06,36,White,Professional,Other,True
16,NORTH,MALE,5,True,9.24,27,Other,Professional,Manufacturing,True
14,NORTH,FEMALE,10,False,12.0,30,White,Professional,Other,True
15,NORTH,FEMALE,33,False,10.61,54,White,Professional,Other,False
18,NORTH,MALE,3,False,5.71,27,White,Professional,Other,True
16,NORTH,FEMALE,0,False,10.0,18,White,Professional,Other,False
16,SOUTH,MALE,13,False,17.5,35,Other,Professional,Other,True
18,NORTH,MALE,12,False,15.0,36,White,Professional,Other,True
16,NORTH,FEMALE,6,False,7.78,28,White,Professional,Other,True
17,NORTH,MALE,7,False,7.8,30,White,Professional,Other,True
16,SOUTH,MALE,14,True,10.0,36,White,Professional,Other,True
17,NORTH,FEMALE,5,False,24.98,28,White,Professional,Other,False
15,SOUTH,FEMALE,10,False,10.28,31,White,Professional,Other,True
18,NORTH,FEMALE,11,False,15.0,35,White,Professional,Other,True
17,NORTH,FEMALE,24,False,12.0,47,White,Professional,Other,True
16,NORTH,MALE,9,False,10.58,31,White,Professional,Manufacturing,False
18,SOUTH,MALE,12,False,5.85,36,White,Professional,Other,True
18,NORTH,MALE,19,False,11.22,43,White,Professional,Other,True
14,NORTH,FEMALE,14,False,8.56,34,White,Professional,Other,True
16,NORTH,FEMALE,17,False,13.89,39,White,Professional,Manufacturing,False
18,SOUTH,MALE,7,False,5.71,31,White,Professional,Other,False
18,NORTH,MALE,7,False,15.79,31,White,Professional,Other,True
16,NORTH,FEMALE,22,False,7.5,44,White,Professional,Other,True
12,NORTH,FEMALE,28,False,11.25,46,White,Professional,Other,True
16,NORTH,FEMALE,16,False,6.15,38,White,Professional,Other,False
16,SOUTH,MALE,16,False,13.45,38,Other,Professional,Other,False
16,NORTH,FEMALE,7,False,6.25,29,White,Professional,Other,True
12,NORTH,FEMALE,11,False,6.5,29,White,Professional,Other,False
12,NORTH,FEMALE,11,False,12.0,29,White,Professional,Other,True
12,NORTH,FEMALE,16,False,8.5,34,White,Professional,Other,False
18,NORTH,MALE,33,True,8.0,57,White,Professional,Other,False
12,SOUTH,FEMALE,21,False,5.75,39,White,Professional,Other,True
16,NORTH,MALE,4,False,15.73,26,White,Professional,Manufacturing,True
15,NORTH,MALE,13,False,9.86,34,White,Professional,Other,True
18,NORTH,MALE,14,True,13.51,38,White,Professional,Other,True
16,NORTH,FEMALE,10,False,5.4,32,White,Professional,Other,True
18,SOUTH,MALE,14,False,6.25,38,White,Professional,Other,True
16,SOUTH,MALE,29,False,5.5,51,White,Professional,Other,True
12,NORTH,MALE,4,False,5.0,22,Hispanic,Professional,Other,False
18,NORTH,MALE,27,False,6.25,51,Other,Professional,Other,True
12,NORTH,MALE,3,False,5.75,21,White,Professional,Other,True
16,SOUTH,MALE,14,True,20.5,36,White,Professional,Other,True
14,NORTH,MALE,0,False,5.0,20,White,Professional,Construction,True
18,NORTH,MALE,33,False,7.0,57,White,Professional,Other,True
16,SOUTH,MALE,38,False,18.0,60,White,Professional,Other,True
18,NORTH,FEMALE,18,True,12.0,42,White,Professional,Other,True
17,NORTH,MALE,3,False,20.4,26,White,Professional,Manufacturing,False
18,NORTH,FEMALE,40,False,22.2,64,White,Professional,Other,False
14,NORTH,MALE,19,False,16.42,39,White,Professional,Manufacturing,False
14,NORTH,FEMALE,4,False,8.63,24,White,Professional,Other,False
16,NORTH,FEMALE,11,False,19.38,33,White,Professional,Other,True
16,NORTH,FEMALE,16,False,14.0,38,White,Professional,Other,True
14,NORTH,MALE,22,False,10.0,42,White,Professional,Other,True
17,NORTH,FEMALE,13,True,15.95,36,White,Professional,Other,False
16,SOUTH,FEMALE,28,True,20.0,50,White,Professional,Other,True
16,NORTH,FEMALE,10,False,10.0,32,White,Professional,Other,True
16,SOUTH,FEMALE,5,False,24.98,27,White,Professional,Other,False
15,NORTH,MALE,5,False,11.25,26,White,Professional,Other,False
18,NORTH,FEMALE,37,False,22.83,61,White,Professional,Manufacturing,False
17,NORTH,FEMALE,26,True,10.2,49,White,Professional,Other,True
16,SOUTH,FEMALE,4,False,10.0,26,White,Professional,Other,True
18,NORTH,FEMALE,31,True,14.0,55,White,Professional,Other,False
17,NORTH,FEMALE,13,True,12.5,36,White,Professional,Other,True
12,NORTH,FEMALE,42,False,5.79,60,White,Professional,Other,True
17,NORTH,MALE,18,False,24.98,41,Hispanic,Professional,Other,True
12,NORTH,FEMALE,3,False,4.35,21,White,Professional,Other,True
17,NORTH,FEMALE,10,False,11.25,33,White,Professional,Other,False
16,NORTH,FEMALE,10,True,6.67,32,White,Professional,Other,False
16,NORTH,FEMALE,17,False,8.0,39,Hispanic,Professional,Other,True
18,NORTH,MALE,7,False,18.16,31,White,Professional,Other,True
16,NORTH,FEMALE,14,False,12.0,36,White,Professional,Other,True
16,NORTH,FEMALE,22,True,8.89,44,White,Professional,Other,True
17,NORTH,FEMALE,14,False,9.5,37,White,Professional,Other,True
16,NORTH,MALE,11,False,13.65,33,White,Professional,Other,True
18,NORTH,MALE,23,True,12.0,47,White,Professional,Other,True
12,NORTH,MALE,39,True,15.0,57,White,Professional,Other,True
16,NORTH,MALE,15,False,12.67,37,White,Professional,Other,True
14,NORTH,FEMALE,15,False,7.38,35,Hispanic,Professional,Other,False
16,NORTH,MALE,10,False,15.56,32,White,Professional,Other,False
12,SOUTH,FEMALE,25,False,7.45,43,White,Professional,Other,False
14,NORTH,FEMALE,12,False,6.25,32,White,Professional,Other,True
16,SOUTH,FEMALE,7,False,6.25,29,Hispanic,Professional,Other,True
17,NORTH,MALE,7,True,9.37,30,White,Professional,Other,True
16,NORTH,MALE,17,False,22.5,39,White,Professional,Manufacturing,True
16,NORTH,MALE,10,True,7.5,32,White,Professional,Other,True
17,SOUTH,MALE,2,False,7.0,25,White,Professional,Other,True
9,SOUTH,FEMALE,34,True,5.75,49,Other,Professional,Other,True
15,NORTH,FEMALE,11,False,7.67,32,White,Professional,Other,True
15,NORTH,MALE,10,False,12.5,31,White,Professional,Other,False
12,SOUTH,MALE,12,False,16.0,30,White,Professional,Other,True
16,NORTH,FEMALE,6,True,11.79,28,White,Professional,Other,False
18,NORTH,MALE,5,False,11.36,29,White,Professional,Other,False
12,NORTH,FEMALE,33,False,6.1,51,Other,Professional,Other,True
17,NORTH,FEMALE,25,True,23.25,48,Other,Professional,Other,True
12,SOUTH,MALE,13,True,19.88,31,White,Professional,Other,True
16,NORTH,MALE,33,False,15.38,55,White,Professional,Manufacturing,True
